日期,收盘,开盘,高,低,交易量,涨跌幅
2018年3月18日,"8,547.40","7,873.20","9,173.40","7,323.30",1.75M,8.54%
2018年3月25日,"6,938.20","8,549.10","8,679.00","6,603.80",1.80M,-18.83%
2018年4月1日,"6,905.70","6,939.10","7,519.30","6,460.10",1.50M,-0.47%
2018年4月8日,"8,004.40","6,905.90","8,228.00","6,633.20",1.51M,15.91%
2018年4月15日,"8,923.10","8,004.60","9,027.70","7,852.80",1.27M,11.48%
2018年4月22日,"9,352.40","8,923.60","9,753.10","8,669.80",1.60M,4.81%
2018年4月29日,"9,853.50","9,352.20","9,992.80","8,851.00",1.17M,5.36%
2018年5月6日,"8,459.50","9,859.40","9,957.70","8,184.10",1.26M,-14.15%
2018年5月13日,"8,245.10","8,483.60","8,758.40","8,055.50",1.14M,-2.53%
2018年5月20日,"7,361.30","8,243.90","8,597.40","7,293.40",1.08M,-10.72%
2018年5月27日,"7,646.60","7,361.90","7,694.50","7,069.80",984.53K,3.88%
2018年6月3日,"7,515.80","7,646.60","7,775.00","7,391.00",868.03K,-1.71%
2018年6月10日,"6,505.80","7,515.80","7,516.30","6,129.10",1.32M,-13.44%
2018年6月17日,"6,167.30","6,505.80","6,839.50","5,955.00",988.81K,-5.20%
2018年6月24日,"6,398.90","6,167.90","6,498.50","5,785.30",1.34M,3.76%
2018年7月1日,"6,765.50","6,398.50","6,805.90","6,398.50",1.03M,5.73%
2018年7月8日,"6,254.80","6,765.40","6,793.80","6,088.80",1.88M,-7.55%
2018年7月15日,"7,408.70","6,254.80","7,683.60","6,238.50",1.92M,18.45%
2018年7月22日,"8,234.10","7,409.00","8,484.60","7,343.70",1.80M,11.14%
2018年7月29日,"7,014.30","8,231.50","8,275.40","6,949.70",1.55M,-14.81%
2018年8月5日,"6,231.60","7,014.00","7,149.70","6,009.80",1.71M,-11.16%
2018年8月12日,"6,379.10","6,232.10","6,626.40","5,898.30",17.63M,2.37%
2018年8月19日,"6,734.80","6,379.10","6,840.80","6,255.90",20.84M,5.58%
2018年8月26日,"7,189.60","6,734.90","7,264.30","6,573.10",26.36M,6.75%
2018年9月2日,"6,184.30","7,189.60","7,409.90","6,132.30",26.79M,-13.98%
2018年9月9日,"6,519.00","6,184.30","6,867.30","6,148.80",22.18M,5.41%
2018年9月16日,"6,729.60","6,519.00","6,833.30","6,144.50",33.27M,3.23%
2018年9月23日,"6,603.90","6,729.60","6,809.20","5,977.00",59.02M,-1.87%
2018年9月30日,"6,596.30","6,603.90","6,682.30","6,034.90",64.74M,-0.12%
2018年10月7日,"6,321.70","6,596.30","6,699.50","6,206.20",907.69K,-4.16%
2018年10月14日,"6,572.20","6,321.60","7,358.40","6,300.00",1.21M,3.96%
2018年10月21日,"6,494.20","6,575.90","6,643.10","6,473.70",685.44K,-1.19%
2018年10月28日,"6,386.20","6,494.60","6,502.20","6,257.80",897.36K,-1.66%
2018年11月4日,"6,427.10","6,386.20","6,594.30","6,359.70",1.04M,0.64%
2018年11月11日,"5,621.80","6,427.10","6,475.90","5,384.10",1.64M,-12.53%
2018年11月18日,"3,920.40","5,621.00","5,727.90","3,821.50",2.69M,-30.26%
2018年11月25日,"4,196.20","3,920.30","4,440.10","3,634.20",3.46M,7.03%
2018年12月2日,"3,430.40","4,196.20","4,316.10","3,251.80",2.98M,-18.25%
2018年12月9日,"3,228.70","3,430.30","3,677.60","3,177.00",2.82M,-5.88%
2018年12月16日,"3,964.40","3,228.60","4,153.10","3,225.90",4.77M,22.79%
2018年12月23日,"3,706.80","3,964.30","4,208.20","3,560.80",4.18M,-6.50%
2018年12月30日,"3,785.40","3,708.20","3,894.80","3,658.80",3.52M,2.12%
2019年1月6日,"3,597.20","3,785.70","4,070.50","3,561.30",3.80M,-4.97%
2019年1月13日,"3,677.80","3,597.30","3,715.20","3,473.20",3.50M,2.24%
2019年1月20日,"3,570.90","3,676.20","3,699.10","3,465.20",3.16M,-2.91%
2019年1月27日,"3,502.50","3,570.90","3,583.20","3,368.20",3.68M,-1.92%
2019年2月3日,"3,661.40","3,502.30","3,721.10","3,382.50",3.78M,4.54%
2019年2月10日,"3,616.80","3,661.00","3,681.10","3,580.20",3.65M,-1.22%
2019年2月17日,"4,120.40","3,616.80","4,152.60","3,607.90",5.61M,13.92%
2019年2月24日,"3,823.10","4,120.50","4,194.20","3,701.90",12.42M,-7.21%
2019年3月3日,"3,944.30","3,823.20","3,964.00","3,681.80",19.19M,3.17%
2019年3月10日,"4,006.40","3,944.40","4,050.60","3,817.10",19.44M,1.57%
2019年3月17日,"4,002.50","4,006.40","4,064.00","3,923.80",20.06M,-0.10%
2019年3月24日,"4,111.80","4,002.60","4,138.10","3,897.90",19.14M,2.73%
2019年3月31日,"5,046.20","4,111.80","5,278.40","4,076.80",36.99M,22.73%
2019年4月7日,"5,051.80","5,046.10","5,404.10","4,889.20",5.83M,0.11%
2019年4月14日,"5,290.20","5,052.00","5,327.00","4,964.20",4.90M,4.72%
2019年4月21日,"5,265.90","5,290.20","5,594.40","5,137.40",6.56M,-0.46%
2019年4月28日,"5,830.90","5,265.70","5,899.20","5,188.90",5.56M,10.73%
2019年5月5日,"7,190.30","5,830.80","7,373.80","5,630.50",5.78M,23.31%
2019年5月12日,"7,262.60","7,190.00","8,323.90","6,802.60",9.03M,1.01%
2019年5月19日,"8,027.40","7,261.90","8,253.40","7,252.30",6.20M,10.53%
2019年5月26日,"8,545.70","8,029.60","9,045.90","7,866.50",20.69M,6.46%
2019年6月2日,"7,901.40","8,545.80","8,807.70","7,480.40",4.88M,-7.54%
2019年6月9日,"8,812.50","7,901.60","8,856.70","7,516.90",4.24M,11.53%
2019年6月16日,"10,721.70","8,812.20","11,160.50","8,771.10",5.15M,21.66%
2019年6月23日,"11,906.50","10,721.50","13,929.80","10,493.50",7.21M,11.05%
2019年6月30日,"11,268.00","11,906.00","12,179.30","9,728.50",6.41M,-5.36%
2019年7月7日,"11,364.90","11,267.90","13,134.40","10,839.40",5.64M,0.86%
2019年7月14日,"10,826.70","11,364.30","11,448.70","9,082.60",6.29M,-4.74%
2019年7月21日,"9,492.10","10,827.00","10,883.80","9,389.10",4.02M,-12.33%
2019年7月28日,"10,815.70","9,491.10","10,893.60","9,401.10",3.89M,13.94%
2019年8月4日,"11,314.50","10,816.10","12,291.90","10,568.80",4.55M,4.61%
2019年8月11日,"10,218.10","11,314.60","11,728.40","9,580.10",4.62M,-9.69%
2019年8月18日,"10,131.00","10,219.30","10,941.60","9,777.00",3.57M,-0.85%
2019年8月25日,"9,594.40","10,132.10","10,568.20","9,343.00",3.29M,-5.30%
2019年9月1日,"10,461.10","9,594.70","10,896.20","9,533.60",3.62M,9.03%
2019年9月8日,"10,337.30","10,461.60","10,578.00","9,908.90",2.74M,-1.18%
2019年9月15日,"9,993.00","10,337.30","10,360.50","9,707.60",2.51M,-3.33%
2019年9月22日,"8,208.50","9,993.00","10,075.00","7,773.60",4.23M,-17.86%
2019年9月29日,"8,127.30","8,208.00","8,486.20","7,749.00",3.23M,-0.99%
2019年10月6日,"8,304.40","8,127.30","8,751.10","7,797.00",4.00M,2.18%
2019年10月13日,"7,957.30","8,304.30","8,450.20","7,842.00",3.38M,-4.18%
2019年10月20日,"9,230.60","7,957.40","10,540.00","7,329.20",4.23M,16.00%
2019年10月27日,"9,300.60","9,230.60","9,866.90","8,959.60",6.08M,0.76%
2019年11月3日,"8,804.50","9,300.50","9,500.40","8,722.40",4.63M,-5.33%
2019年11月10日,"8,497.30","8,804.70","9,092.90","8,437.10",4.02M,-3.49%
2019年11月17日,"7,324.10","8,497.40","8,631.70","6,818.50",6.19M,-13.81%
2019年11月24日,"7,546.60","7,325.00","7,825.30","6,534.80",6.29M,3.04%
2019年12月1日,"7,510.90","7,546.50","7,702.20","7,113.60",5.17M,-0.47%
2019年12月8日,"7,080.80","7,510.80","7,626.00","7,043.30",3.88M,-5.73%
2019年12月15日,"7,156.20","7,080.80","7,387.70","6,462.20",5.22M,1.07%
2019年12月22日,"7,321.50","7,156.30","7,684.00","7,128.50",5.29M,2.31%
2019年12月29日,"7,376.80","7,321.60","7,518.90","6,884.10",4.70M,0.75%
2020年1月5日,"8,024.10","7,376.80","8,436.40","7,345.60",6.53M,8.78%
2020年1月12日,"8,916.30","8,023.30","9,005.10","7,973.10",6.33M,11.12%
2020年1月19日,"8,341.60","8,916.30","9,183.70","8,242.60",4.60M,-6.45%
2020年1月26日,"9,381.60","8,341.60","9,569.00","8,304.90",4.89M,12.47%
2020年2月2日,"9,895.50","9,381.50","9,931.20","9,381.50",4.78M,5.48%
2020年2月9日,"9,907.70","9,895.40","10,482.60","9,725.10",5.39M,0.12%
2020年2月16日,"9,655.70","9,907.40","10,230.90","9,424.30",5.93M,-2.54%
2020年2月23日,"8,543.70","9,655.60","9,981.00","8,451.90",7.28M,-11.52%
2020年3月1日,"8,887.80","8,543.80","9,180.80","8,437.20",6.44M,4.03%
2020年3月8日,"5,182.70","8,887.80","8,888.00","3,869.50",16.09M,-41.69%
2020年3月15日,"6,186.20","5,182.90","6,858.10","4,477.70",14.45M,19.36%
2020年3月22日,"6,233.70","6,186.90","6,930.20","5,710.80",10.15M,0.77%
2020年3月29日,"6,857.40","6,233.20","7,182.70","5,872.50",9.18M,10.01%
2020年4月5日,"6,867.80","6,857.50","7,440.30","6,686.00",8.36M,0.15%
2020年4月12日,"7,230.80","6,867.90","7,259.40","6,520.50",7.48M,5.29%
2020年4月19日,"7,540.40","7,230.90","7,684.60","6,771.20",12.22M,4.28%
2020年4月26日,"8,966.30","7,540.40","9,437.50","7,520.50",8.77M,18.91%
2020年5月3日,"9,554.60","8,966.20","10,033.00","8,553.20",9.63M,6.56%
2020年5月10日,"9,379.50","9,553.90","9,887.50","8,235.60",12.52M,-1.83%
2020年5月17日,"9,177.00","9,376.60","9,930.20","8,833.60",7.89M,-2.16%
2020年5月24日,"9,692.50","9,177.90","9,729.90","8,666.10",6.17M,5.62%
2020年5月31日,"9,669.60","9,692.90","10,301.80","9,347.30",4.72M,-0.24%
2020年6月7日,"9,471.30","9,669.60","9,970.90","9,139.10",3.94M,-2.05%
2020年6月14日,"9,358.80","9,470.70","9,577.10","8,925.60",3.38M,-1.19%
2020年6月21日,"9,008.30","9,358.80","9,751.90","8,865.30",3.24M,-3.74%
2020年6月28日,"9,134.40","9,008.40","9,289.00","8,950.20",2.61M,1.40%
2020年7月5日,"9,233.30","9,134.30","9,458.30","8,932.10",3.03M,1.08%
2020年7月12日,"9,170.20","9,234.20","9,337.80","9,052.00",2.76M,-0.68%
2020年7月19日,"9,704.10","9,170.10","9,729.30","9,106.40",2.56M,5.82%
2020年7月26日,"11,803.10","10,961.10","11,847.70","10,771.80",4.12M,21.63%
2020年8月2日,"11,764.30","11,802.60","12,061.10","10,730.70",3.74M,-0.33%
2020年8月9日,"11,845.30","11,764.40","12,041.10","11,146.70",3.46M,0.69%
2020年8月16日,"11,748.20","11,845.50","12,444.10","11,602.60",2.73M,-0.82%
